INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9021875, eval/precision = 0.9315746, eval/recall = 0.9389281, global_step = 50000, loss = 0.3201493
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8909375, eval/precision = 0.9060773, eval/recall = 0.9538845, global_step = 50000, loss = 0.3091649
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.91875, eval/precision = 0.9531448, eval/recall = 0.93809724, global_step = 50000, loss = 0.29791826
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.919375, eval/precision = 0.9398281, eval/recall = 0.9538845, global_step = 50000, loss = 0.27884713
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8625, eval/precision = 0.9501144, eval/recall = 0.8624844, global_step = 50000, loss = 0.34915555
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8953125, eval/precision = 0.9117647, eval/recall = 0.9530536, global_step = 50000, loss = 0.30274776
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9134375, eval/precision = 0.9531915, eval/recall = 0.930619, global_step = 50000, loss = 0.298286
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.913125, eval/precision = 0.91959006, eval/recall = 0.96925634, global_step = 50000, loss = 0.32036853
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.925, eval/precision = 0.94026816, eval/recall = 0.9613627, global_step = 50000, loss = 0.2676823
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.89625, eval/precision = 0.93142146, eval/recall = 0.93064785, global_step = 50000, loss = 0.3145014
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9015625, eval/precision = 0.94548553, eval/recall = 0.92230994, global_step = 50000, loss = 0.27645138
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8853125, eval/precision = 0.93037975, eval/recall = 0.9160781, global_step = 50000, loss = 0.31492645
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.913125, eval/precision = 0.9389691, eval/recall = 0.94599086, global_step = 50000, loss = 0.27740863
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8846875, eval/precision = 0.94381535, eval/recall = 0.90029085, global_step = 50000, loss = 0.33227828
